,id,name,regr_mse,regr_dt_mse,regr_boost_mse,regr_rf_mse,rs_m70,rs_m50,rs_m30,rs_m10,rs_p10,rs_p30,rs_p50,rs_p70
72,431,동작,1.2069581626257684,1.0665709274863584,0.8893263865000761,1.0255508778486933,0.1354907299401861,0.08460001411412754,0.02293769437754001,-0.0032613835397622215,-0.01415476692346716,-0.016146742405240125,-0.014200051290806391,-0.006076043550702365
73,2555,둔촌동,0.6444472432013815,0.14514595105122996,0.08398785435617298,0.1445655935610405,0.01819195053396391,0.013296943958689468,0.006749892020485458,0.00105085591709886,-0.0021320773002536943,-0.004494110919221323,-0.004887754463739084,-0.005541627771659989
74,2619,디지털미디어시티,0.9406225892791409,0.117977430846365,0.06787829628404819,0.11654498630655491,0.0041213320648281326,0.001356735689828873,-0.0036936194875350197,-0.007162203296164024,-0.011230249355874298,-0.013842073062960794,-0.01548863974198494,-0.02140721929568291
75,210,뚝섬,0.8902779482785588,0.09494742021837942,0.0799682018542704,0.09275821741476141,0.03226552484168015,0.019660392067237614,0.011128643224194287,0.0047400142597170325,0.0005302876758422293,-0.0030259344102984307,-0.005382852567387493,-0.006738137179080814
76,2730,뚝섬유원지,0.6757647723328688,0.43030971012649133,0.29101481016444597,0.40590288481590375,0.008597138042893575,-0.0004421731567003781,-0.0028371363016483544,-0.002172495273767189,-0.0015448626636310845,0.0006645946256177462,0.003125691953692963,0.0066280760875465725
77,2515,마곡,0.7216189281300509,0.19748665853785788,0.07962665248068176,0.18615757769658345,-0.024131790727805354,-0.014077025168042873,-0.0028368390182103905,-0.00469128377603882,-0.015698059551810292,-0.02758067648490662,-0.044350915388054156,-0.06507156605562818
78,2714,마들,0.41663995869264214,0.1198823071085084,0.062387478251447984,0.11940866188721173,-0.004231571138452512,0.0034772166879173446,0.003972904320599157,0.00368720099392702,0.003910558395918537,0.004092833563911844,0.0035602694031445017,0.003258727320712661
79,2542,마장,0.8052937560441441,0.27277348081459873,0.11949622919721395,0.2727924325958617,0.03679296359162225,0.01704200263545919,0.006356548137666911,-0.002281505653087038,-0.008136260720371954,-0.013949297536573129,-0.018766600452937838,-0.02350549258205567
80,2561,마천,0.5384947953097401,0.1507637810115781,0.10012467723928757,0.14761399631109134,0.028685972370183836,0.02005411334091833,0.01469131928816678,0.011174061685260719,0.009243976268705444,0.00718437265323232,0.00420578838535064,0.0017677519970477078
81,2529,마포,0.8607951299027705,0.2867134689238235,0.093597280212253,0.2663568166768882,0.013203927187571641,0.015298342548632013,0.007362470893504678,-0.00033072873661572075,-0.0053353062728304515,-0.010158693683911597,-0.013588433128802892,-0.014617763402816538
